id,outDegree
69,3483
70,3326
50,2593
61,2263
55,2256
74,2240
60,2220
65,1915
77,1585
67,1566
76,1355
39,1301
51,1246
56,1211
64,1168
62,1125
73,1114
54,1071
57,1033
72,1016
63,990
82,952
75,923
48,922
42,891
66,851
45,850
71,850
49,848
41,795
28,712
2,702
47,680
68,627
59,572
46,427
58,342
27,275
4,252
6,238
22,228
32,223
34,206
7,179
9,157
11,155
30,154
84,144
35,138
16,130
29,123
31,122
33,117
25,114
13,113
37,104
3,94
36,83
80,78
10,72
5,69
12,65
14,58
8,55
38,55
26,35
83,29
23,19
21,14
24,8
