id,degree
70,7796
69,7244
50,5251
60,4792
61,4750
74,4567
55,4341
65,4034
77,3513
67,2961
39,2669
76,2625
51,2370
56,2127
57,2078
63,2024
54,2014
64,1977
72,1905
48,1899
42,1840
75,1818
62,1801
73,1799
82,1753
49,1692
45,1669
66,1553
41,1517
71,1426
2,1411
47,1403
28,1388
68,1368
59,1042
46,935
58,659
27,585
6,552
4,525
32,464
7,384
22,376
34,366
30,310
9,303
35,286
11,274
84,271
25,254
29,253
31,248
16,244
13,221
37,221
33,212
36,176
3,156
12,143
80,140
5,139
38,127
10,126
8,123
14,110
26,84
23,76
83,45
21,32
24,16
"",1
