inDegree,id,outDegree,Sink_ratio
57,23,19,3.0
49,26,35,1.4
4470,70,3326,1.343956704750451
314,6,238,1.319327731092437
72,38,55,1.309090909090909
18,21,14,1.2857142857142858
68,8,55,1.2363636363636363
140,25,114,1.2280701754385965
1928,77,1585,1.2164037854889589
78,12,65,1.2
508,46,427,1.189695550351288
741,68,627,1.1818181818181819
2572,60,2220,1.1585585585585585
205,7,179,1.1452513966480447
310,27,275,1.1272727272727272
117,37,104,1.125
93,36,83,1.1204819277108433
2119,65,1915,1.106527415143603
2487,61,2263,1.0989836500220946
273,4,252,1.0833333333333333
241,32,223,1.0807174887892377
3761,69,3483,1.079816250358886
148,35,138,1.0724637681159421
949,42,891,1.0650953984287317
723,47,680,1.063235294117647
977,48,922,1.059652928416486
130,29,123,1.056910569105691
1368,39,1301,1.0514988470407378
1034,63,990,1.0444444444444445
2327,74,2240,1.0388392857142856
126,31,122,1.0327868852459017
2658,50,2593,1.0250674893945237
70,5,69,1.0144927536231885
156,30,154,1.0129870129870129
1045,57,1033,1.0116166505324298
709,2,702,1.0099715099715099
8,24,8,1.0
844,49,848,0.9952830188679245
895,75,923,0.9696641386782232
819,45,850,0.9635294117647059
108,13,113,0.9557522123893806
676,28,712,0.949438202247191
1270,76,1355,0.9372693726937269
146,9,157,0.9299363057324841
317,58,342,0.9269005847953217
2085,55,2256,0.9242021276595744
722,41,795,0.9081761006289308
1124,51,1246,0.9020866773675762
52,14,58,0.896551724137931
1395,67,1566,0.8908045977011494
127,84,144,0.8819444444444444
943,54,1071,0.880485527544351
114,16,130,0.8769230769230769
889,72,1016,0.875
801,82,952,0.8413865546218487
702,66,851,0.8249118683901293
470,59,572,0.8216783216783217
95,33,117,0.811965811965812
62,80,78,0.7948717948717948
160,34,206,0.7766990291262136
119,11,155,0.7677419354838709
916,56,1211,0.7563996696944674
54,10,72,0.75
809,64,1168,0.6926369863013698
576,71,850,0.6776470588235294
62,3,94,0.6595744680851063
148,22,228,0.6491228070175439
685,73,1114,0.6149012567324955
676,62,1125,0.6008888888888889
16,83,29,0.5517241379310345
